County,Median_Household_Income,Bachelors_Degree_Pct,Unemployment_Rate,No_Health_Insurance_Pct,Median_Gross_Rent,Broadband_Pct,High_School_Grad_Pct,Upward_Mobility,Gini_Index,No_Vehicle_Pct,UOI_ALL,Voter_Turnout,fips
HAYS,71061,38.7,5.6,13.9,1235,89.3,90.46559925908255,17.465906273245725,0.4496,3.0603834016296925,0.6518642289663567,67.07,209
HEMPHILL,54867,21.7,6.2,18.4,856,82.9,85.50153307052125,-19.042981718383427,0.5042,5.191059841384282,-0.3489393399809864,68.73,211
HENDERSON,51963,18.2,6.3,18.4,838,79.1,84.84102919518322,19.636690150573283,0.4862,5.120414494514984,-0.20305709713814765,65.08,213
HIDALGO,44666,19.5,7.8,30.8,799,76.4,67.32197823072005,23.749099573336288,0.4785,6.021848552692168,-0.7876414661794605,48.92,215
HILL,57800,17.3,5.5,16.8,803,83.7,85.44254499241586,33.0540273013973,0.4419,5.826880318945029,0.10979196454738152,61.76,217
HOCKLEY,49241,17.0,5.8,19.1,751,78.5,76.5473994835854,-2.1656633088951143,0.4311,6.61625708884688,-0.3906932772119077,55.97,219
HOOD,75851,30.4,6.2,13.7,1105,89.1,91.92312953084394,30.071165223355912,0.4474,2.326927051043604,0.687566042094351,70.75,221
HOPKINS,57745,21.0,4.5,19.5,872,85.6,86.17410387710315,26.224097228294134,0.4511,3.106358213298414,0.21461084297831165,66.08,223
HOUSTON,43644,14.3,4.5,15.5,735,69.5,79.57397318969211,34.56249614601961,0.4952,8.64953080375357,-0.4364442290911203,67.51,225
HOWARD,60260,13.7,5.4,17.3,891,82.6,80.54487856388596,18.21017321537164,0.4315,5.040623445531421,-0.023645172059726174,55.87,227
HUDSPETH,32404,8.4,7.5,21.3,788,61.7,49.67348715716152,21.65947062136287,0.4259,12.31300345224396,-1.3254549425759552,45.34,229
HUNT,61053,21.3,5.4,16.2,1020,84.5,87.30095663070387,33.762022654076205,0.4423,5.162769884774583,0.2592761478319897,63.84,231
HUTCHINSON,57288,16.6,7.3,18.5,791,84.6,86.26373626373626,14.315360976972503,0.4129,3.880249963668071,0.052831177569903374,61.35,233
IRION,39770,18.3,6.9,14.6,995,59.5,88.68101028999065,-37.95631825273011,0.4611,5.760709010339734,-0.7241884834945509,70.33,235
JACK,56916,14.8,6.6,18.9,784,78.7,81.62806774974075,12.95098233776543,0.4565,11.908030199039121,-0.508828373036008,71.25,237
JACKSON,60807,15.5,4.3,16.2,840,84.0,80.5748166013466,7.430964117241745,0.3893,5.489815712900097,0.10550498885648282,63.99,239
JASPER,44356,13.1,13.7,19.3,755,77.2,84.4772234273319,-0.4399353564374214,0.5102,5.698184095178459,-0.8431024898010369,64.57,241
JEFF DAVIS,38659,27.2,0.0,20.9,1062,70.1,86.61005878510777,-22.950133535297166,0.4838,3.3663366336633667,-0.2598934692669542,74.46,243
JEFFERSON,53613,19.1,5.6,21.0,918,83.9,84.86544191830319,19.232736572890026,0.4798,7.31312869942103,-0.22201961534956433,58.42,245
JIM HOGG,37342,13.2,4.3,23.6,647,59.9,72.83418267346138,7.400270355776698,0.4182,6.957132817990162,-0.7585379740050453,45.35,247
JIM WELLS,47629,15.6,4.3,19.1,791,67.2,78.9427383237364,9.944368781884075,0.4614,7.1990650564861705,-0.49823564941271836,50.58,249
JOHNSON,70767,20.5,3.3,16.3,1134,89.6,86.31537894873684,19.751247990523733,0.3988,2.342608552901584,0.5825969569147935,65.23,251
JONES,55575,12.1,5.8,16.9,782,81.9,80.70331779544831,18.22707256366073,0.4019,3.7465469613259668,0.031222777879828707,63.58,253
KARNES,49526,15.9,3.3,15.9,783,74.3,75.0888625592417,7.529636545225585,0.5298,6.747912435116227,-0.4939183107279536,60.05,255
KAUFMAN,75187,22.2,4.9,13.9,1167,86.2,86.40257079195172,24.938932185646156,0.4032,2.777717638398753,0.5855450949288057,64.39,257
KENDALL,100706,47.5,4.2,12.4,1313,92.6,93.25746046450077,31.90045841519319,0.4766,2.0478445360063957,1.1885417060123111,75.36,259
KENEDY,42778,3.9,0.0,20.7,-666666666,52.1,18.446601941747574,78.24166666666666,0.2493,0.0,0.45454701617162196,59.63,261
KENT,63994,32.8,0.5,2.9,823,81.9,88.91454965357968,26.4079012345679,0.3649,3.292181069958848,1.0868068821645633,71.45,263
KERR,62204,29.1,3.7,18.2,985,88.8,90.17498753836871,40.539075032195385,0.4598,4.207490156579068,0.5073274189407492,70.14,265
KIMBLE,55677,28.1,2.1,17.8,645,79.1,85.67870485678705,34.93202142355137,0.5124,4.173622704507513,0.18930958633467926,72.81,267
KING,42125,25.3,4.9,15.7,-666666666,97.6,76.50602409638554,-26.203948636196415,0.4707,0.0,0.7436255182918612,81.82,269
KINNEY,58925,16.7,1.5,17.7,693,61.9,85.02651978784169,71.30356416070703,0.3765,5.389797882579403,0.3646240042213427,65.89,271
KLEBERG,49986,23.0,5.4,15.1,914,79.9,80.61253642648991,20.538233379150693,0.4748,5.66658015399256,-0.0851317013437853,53.26,273
KNOX,50163,14.9,3.6,19.2,823,79.7,81.00217864923748,18.90347966246326,0.4103,2.3181454836131095,0.07920549883769504,61.88,275
LAMAR,51561,19.5,3.3,17.8,771,73.1,87.44882442390923,27.996921778417693,0.4601,6.889111891620672,-0.06578976855324545,64.03,277
LAMB,50041,12.6,3.1,23.6,737,73.2,76.26914265042807,20.86906113378904,0.4371,5.755864465682016,-0.34578612382112206,52.47,279
LAMPASAS,66506,18.2,6.7,15.0,799,84.5,91.39446412173685,32.066404543468764,0.3904,4.868819374369323,0.4099330206600598,66.6,281
LA SALLE,61042,7.7,1.5,21.1,903,75.7,68.82467955681078,52.24721903526712,0.4203,2.08779443254818,0.09395038392984424,,283
LAVACA,57602,17.9,3.2,11.4,814,78.3,86.31676929686381,20.62488220635353,0.4454,4.25611582626061,0.24184807740999342,72.9,285
LEE,60750,14.3,2.8,16.5,958,81.0,87.10699488179381,11.78375593419939,0.3986,4.798308392973325,0.21165898728179194,69.17,287
LEON,48676,17.2,6.3,18.1,720,72.2,83.3855238436074,2.6032334900191816,0.4983,3.0964797913950455,-0.38113136404516124,71.47,289
LIBERTY,53871,9.9,8.1,24.0,873,87.0,78.05638266381096,8.490585036753599,0.4374,4.622941346431667,-0.3866837903343109,57.32,291
