County,Median_Household_Income,Bachelors_Degree_Pct,No_Vehicle_Pct,No_Health_Insurance_Pct,UOI,Voter_Turnout,fips
WHEELER,52138,17.4,6.770025839793281,21.6,-0.10838896892987784,66.93,483
WICHITA,53272,23.1,6.761048720237478,14.9,0.4027963204433641,55.93,485
WILBARGER,45262,15.3,3.815961622328827,12.6,-0.007699503544516484,55.13,487
WILLACY,39401,9.6,4.914370811615785,29.1,-0.90788676396599,47.55,489
WILLIAMSON,94705,44.8,2.3408944806685645,9.6,0.8921563623642443,69.41,491
WILSON,84042,24.0,2.4898224084016753,13.0,0.1047360199067093,70.1,493
WINKLER,67904,10.2,2.9746603011384503,22.3,-0.7365423052555197,46.62,495
WISE,75482,18.7,1.9712193460490464,17.3,-0.32487422179387676,68.35,497
WOOD,58418,20.4,4.87943585077343,15.9,0.08460623708792132,68.21,499
YOAKUM,73102,10.8,1.1185682326621924,24.7,-1.023229136685708,56.14,501
YOUNG,52074,25.7,4.656498852746659,18.4,0.09635876778676096,67.06,503
ZAPATA,34406,11.9,9.703872437357631,26.0,-0.20826261812511268,60.55,505
ZAVALA,44573,14.8,3.7418974661166766,14.1,-0.10615889342448684,44.71,507
